D[-],D_dot[1/s],p[-],p_dot[1/s],Mises[MPa],Hydro[MPa],teq[-],eeq[-],V[mm^3],Sig_tri[-],LoadState
0,0,9.5398736757E-017,9.5398736757E-014,7.1100937004,-0.0003607998,0.000029744,0.000029744,0.0016973577,-0.0012515265,Sx
0,0,9.5255308785E-017,-1.4344418102E-016,14.220193279,-0.0002668471,5.9488051895E-005,5.9488051895E-005,0.0016973577,-0.0012179384,Sx
0,0,9.3917420941E-017,-8.9194347835E-016,24.885374975,-0.0008161783,0.0001041041,0.0001041041,0.0016973576,-0.0012308405,Sx
0,0,9.3917456891E-017,0,40.883206224,-0.002201051,0.0001710282,0.0001710282,0.0016973576,-0.0012501853,Sx
0,0,9.3917510696E-017,0,64.880084251,-0.0055403499,0.0002714142,0.0002714142,0.0016973574,-0.0012791986,Sx
0,0,3.4855439093E-016,5.029862712E-014,100.87569322,-0.0133888426,0.0004219934,0.0004219934,0.0016973571,-0.0013227171,Sx
0,0,9.6557316342E-009,1.2715366302E-006,154.86698376,-0.031550074,0.0006478622,0.0006478532,0.0016973562,-0.0013886636,Sx
0,0,2.8530849342E-006,0.0004992578,194.61227265,-0.0500140176,0.0008173319,0.0008146664,0.0016973554,-0.0014706146,Sx
0,0,2.3969943103E-005,0.0049436872,219.97467377,-0.0653254495,0.0009450331,0.0009229195,0.0016973548,-0.0015113409,Sx
0,0,6.5102537345E-005,0.0128394553,233.48154895,-0.0763190721,0.0010417823,0.0009818451,0.0016973545,-0.0014269052,Sx
0,0,0.0001677668,0.0213642674,245.44335532,-0.0911265705,0.0011888177,0.0010342671,0.0016973542,-0.0011158583,Sx
0,0,0.0003620959,0.0269597205,255.77439706,-0.1117463437,0.0014128587,0.0010782839,0.0016973542,-0.0008173384,Sx
0,0,0.0006824711,0.0296309133,265.44723342,-0.1416620443,0.0017534638,0.0011181767,0.0016973544,-0.0004603711,Sx
0,0,0.0011813996,0.0307633579,274.71588605,-0.1859337879,0.0022683637,0.0011562633,0.0016973552,-3.1298497599E-005,Sx
0,0,0.0019420478,0.0312671459,283.39640444,-0.2520742926,0.0030435051,0.0011923714,0.001697357,0.0002461866,Sx
0,0,0.0030891986,0.0314363603,291.70604078,-0.3516920864,0.0042063212,0.0012275191,0.0016973609,0.0001267058,Sx
0,0,0.0046632205,0.0314802153,299.30251797,-0.4896559703,0.0057970321,0.0012597809,0.001697367,-0.0003880474,Sx
0,0,0.006236093,0.0314574443,305.23705813,-0.6301364267,0.0073852309,0.0012849467,0.001697368,-0.0009306995,Sx
0,0,0.0078121349,0.0315208102,309.5426435,-0.7710554033,0.0089727637,0.0013032278,0.0016973693,-0.0014342941,Sx
0,0,0.009390252,0.0315623293,312.91643765,-0.9123928322,0.0105600001,0.0013174723,0.0016973708,-0.0019090469,Sx
0,0,0.0109697472,0.0315899325,315.68074818,-1.0540545173,0.0121470225,0.0013290727,0.0016973722,-0.002359544,Sx
0,0,0.0125501471,0.0316080908,318.01387125,-1.1960212432,0.0137338273,0.0013388111,0.0016973737,-0.0027900552,Sx
0,0,0.0141311246,0.0316197202,320.02536763,-1.3382340959,0.015320378,0.0013471652,0.0016973753,-0.0032027476,Sx
0,0,0.0157124651,0.0316270786,321.79029303,-1.4806854619,0.0169066426,0.0013544508,0.0016973768,-0.0036020927,Sx
0,0,0.0172940103,0.0316312944,323.3594472,-1.6233779394,0.018492598,0.0013608852,0.0016973783,-0.0039938923,Sx
0,0,0.0188756647,0.0316336392,324.77527627,-1.7663275644,0.0200782578,0.0013666533,0.0016973797,-0.0043846771,Sx
0,0,0.0196663657,0.0316352634,325.69395493,-1.8391215555,0.0208713323,0.0013703378,0.0016973715,-0.0045769145,Sx
0,0,0.0204576984,0.0316544704,326.33472871,-1.9107838164,0.0216644117,0.0013729366,0.0016973722,-0.0047712459,Sx
0,0,0.0216445795,0.0316490617,327.1092664,-2.0177479011,0.0228535445,0.0013760553,0.001697377,-0.0050663825,Sx
0,0,0.0228312733,0.0316460224,327.94883399,-2.1254374746,0.0240426169,0.0013794128,0.0016973781,-0.0053615002,Sx
0,0,0.0240181614,0.0316513392,328.75237828,-2.2333108969,0.0252317868,0.0013826099,0.0016973791,-0.0056579336,Sx
0,0,0.0252053281,0.0316588357,329.51684325,-2.3413309223,0.0264211449,0.0013856393,0.0016973802,-0.0059548902,Sx
0,0,0.0263928193,0.0316675722,330.24916912,-2.4495135398,0.0276107539,0.0013885301,0.0016973812,-0.0062519738,Sx
0,0,0.0275806991,0.0316779993,330.9557117,-2.5577928206,0.0288006865,0.0013913073,0.0016973823,-0.0065505681,Sx
0,0,0.0287690547,0.0316906844,331.63635186,-2.6663003209,0.0299910335,0.0013939726,0.0016973833,-0.00685228,Sx
2.0885312095E-006,4.1770624189E-005,0.0303541589,0.0317003678,332.41704886,-2.8106066414,0.0315788012,0.0013970514,0.0016973899,-0.0072589901,Sx
9.759936495E-006,0.0001534303,0.0319402098,0.0317222568,333.2316403,-2.9554733561,0.0331673545,0.0014002279,0.0016973913,-0.0076618415,Sx
3.8081908452E-005,0.0005664395,0.0335275197,0.0317476128,333.97498718,-3.0999396944,0.0347569894,0.0014031122,0.001697393,-0.0080502492,Sx
0.0001085031,0.0014082809,0.0351165444,0.0317818902,334.57619483,-3.2427879135,0.0363480433,0.0014054752,0.0016973951,-0.0083917129,Sx
0.0001610249,0.0021035449,0.0359120672,0.0318408669,334.92931298,-3.3142155873,0.0371437534,0.0014067518,0.0016973864,-0.0085402289,Sx
